hospital_id,KName,lon,lat,Str,PLZ,Ort,Bundesland,Adresse,KV,x_center_m,y_center_m,cell_size_m,rail_length_in_cell_km_1885,rail_segments_hitting_cell_1885,x_min,x_max,y_min,y_max
K000000350,St. Camillus,6.708,51.531,Kirchstr. 12,47178,Duisburg,Nordrhein-Westfalen,"St. Camillus, Kirchstraße 12, 47178 Duisburg",Nordrhein,4092646.444040854,3162967.0474971095,10000,22.15408565586345,5,4087646.444040854,4097646.444040854,3157967.0474971095,3167967.0474971095
K000000351,Evangelisches Krankenhaus Duisburg Nord,6.7664,51.5149,Fahrner Str. 133-135,47169,Duisburg,Nordrhein-Westfalen,"Evangelisches Krankenhaus Duisburg Nord, Fahrner Straße 133-135, 47169 Duisburg",Nordrhein,4096615.156511122,3160996.207230803,10000,47.50337048451784,14,4091615.156511122,4101615.156511122,3155996.207230803,3165996.207230803
K000000352,BETHESDA Krankenhaus,6.7603,51.4168,Heerstr. 219,47053,Duisburg,Nordrhein-Westfalen,"BETHESDA Krankenhaus, Heerstraße 219, 47053 Duisburg",Nordrhein,4095709.0717942948,3150109.688851944,10000,87.09992986576606,27,4090709.0717942948,4100709.0717942948,3145109.688851944,3155109.688851944
K000000353,Universitätsklinikum Essen,6.989,51.4364,Hufelandstr. 55,45147,Essen,Nordrhein-Westfalen,"Universitätsklinikum Essen, Hufelandstr. 55, 45147 Essen",Nordrhein,4111691.900425532,3151608.126226818,10000,61.0529803588122,24,4106691.900425532,4116691.900425532,3146608.126226818,3156608.126226818
K000000354,St. Josef Krankenhaus Essen-Werden GmbH,7.0053,51.3884,Propsteistr. 2,45239,Essen,Nordrhein-Westfalen,"St. Josef Krankenhaus Essen-Werden GmbH, Propsteistr. 2, 45239 Essen",Nordrhein,4112605.8563411804,3146225.022629742,10000,30.410533656460597,13,4107605.8563411804,4117605.8563411804,3141225.022629742,3151225.022629742
K000000355,Katholisches Klinikum Essen - Betriebsteil Philippusstift,6.9501,51.4757,Hülsmannstr. 17,45355,Essen,Nordrhein-Westfalen,"Katholisches Klinikum Essen - Betriebsteil Philippusstift, Hülsmannstraße 17, 45355 Essen",Nordrhein,4109171.780035286,3156089.52889941,10000,101.00331622341452,35,4104171.780035286,4114171.780035286,3151089.52889941,3161089.52889941
K000000356,Elisabeth-Krankenhaus Essen,7.033,51.4456,Klara-Kopp-Weg 1,45138,Essen,Nordrhein-Westfalen,"Elisabeth-Krankenhaus Essen, Klara-Kopp-Weg 1, 45138 Essen",Nordrhein,4114790.0642721783,3152505.7849548617,10000,93.06143707660446,37,4109790.0642721783,4119790.0642721783,3147505.7849548617,3157505.7849548617
K000000357,Alfried Krupp Krankenhaus Steele,7.0919,51.4498,Hellweg 100,45276,Essen,Nordrhein-Westfalen,"Alfried Krupp Krankenhaus Steele, Hellweg 100, 45276 Essen",Nordrhein,4118899.7223746115,3152808.0775081445,10000,88.33667093921338,33,4113899.7223746115,4123899.7223746115,3147808.0775081445,3157808.0775081445
K000000358,"KEM | Evang. Kliniken Essen-Mitte, Evang. Huyssens-Stiftung Essen-Huttrop",7.03,51.4415,Henricistr. 92,45136,Essen,Nordrhein-Westfalen,"KEM | Evang. Kliniken Essen-Mitte, Evang. Huyssens-Stiftung Essen-Huttrop, Henricistraße 92, 45136 Essen",Nordrhein,4114563.186665491,3152058.425888145,10000,86.73296162711846,37,4109563.186665491,4119563.186665491,3147058.425888145,3157058.425888145
K000000359,"KEM | Evang. Kliniken Essen-Mitte, Evang. Krankenhaus Essen-Werden",7.006,51.3898,Pattbergstr. 1-3,45239,Essen,Nordrhein-Westfalen,"KEM | Evang. Kliniken Essen-Mitte, Evang. Krankenhaus Essen-Werden, Pattbergstrasse 1-3, 45239 Essen",Nordrhein,4112660.902986697,3146378.673250533,10000,30.83935384009601,13,4107660.902986697,4117660.902986697,3141378.673250533,3151378.673250533
K000000360,Alfried Krupp Krankenhaus Rüttenscheid,7.0077,51.4262,Alfried-Krupp-Str. 21,45131,Essen,Nordrhein-Westfalen,"Alfried Krupp Krankenhaus Rüttenscheid, Alfried-Krupp-Straße 21, 45131 Essen",Nordrhein,4112944.5975948274,3150420.681052308,10000,69.68236444686399,26,4107944.5975948274,4117944.5975948274,3145420.681052308,3155420.681052308
K000000361,LVR-Klinikum Essen,6.9961,51.4581,Virchowstr. 174,45147,Essen,Nordrhein-Westfalen,"LVR-Klinikum Essen, Virchowstraße 174, 45147 Essen",Nordrhein,4112284.203592805,3154000.352777932,10000,85.67641612451602,33,4107284.203592805,4117284.203592805,3149000.352777932,3159000.352777932
K000000363,Helios Cäcilien-Hospital Hüls,6.5146,51.3762,Fette Henn 50,47839,Krefeld-Hüls,Nordrhein-Westfalen,"Helios Cäcilien-Hospital Hüls, Fette Henn 50, 47839 Krefeld-Hüls",Nordrhein,4078422.435206727,3146383.72486057,10000,25.38382877892901,7,4073422.435206727,4083422.435206727,3141383.72486057,3151383.72486057
